gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sox17,9.371192942,-1.294095518,11.74082113,-0.110221892,0.912233401,0.965457344
Mrpl15,812.3168518,0.131111673,0.688451414,0.190444336,0.848960958,0.932710055
Lypla1,2323.129784,0.603541411,0.436613254,1.382324988,0.166871937,0.374329171
Tcea1,2079.604613,-0.365085001,0.437135872,-0.835175114,0.403619119,0.630485259
Rgs20,445.2281923,0.212820735,0.712044086,0.298887021,0.765026251,0.887171844
Atp6v1h,2377.913227,0.027412931,0.478757662,0.057258469,0.954339303,0.984697077
Npbwr1,148.2087681,2.520648602,0.721197338,3.495088609,0.000473904,0.006385991
Rb1cc1,3243.816551,-1.30568009,0.625800634,-2.086415415,0.03694101,0.144391246
Pcmtd1,2580.582993,-1.406516186,0.541241583,-2.598684634,0.00935817,0.05542417
Rrs1,462.0329388,1.84043446,0.445628637,4.129973499,3.63E-05,0.000951024
Adhfe1,25.95281187,-0.928497469,1.746753558,-0.531556077,0.595033493,0.785119312
2610203C22Rik,15.9912125,0.539732651,1.28303436,0.420668899,0.673996875,0.835954667
3110035E14Rik,5.091217865,-1.843687787,2.081357049,-0.885810432,0.375719687,0.605794784
Mybl1,92.03398661,3.142038034,0.877350926,3.581278529,0.000341917,0.004990428
Vcpip1,492.3149457,1.518812205,0.437178996,3.474119798,0.000512532,0.006733728
Sgk3,550.8644645,-0.439435239,0.340122916,-1.291989509,0.196360778,0.413616732
Snhg6,442.4899482,-0.349072377,0.926560609,-0.376739928,0.706366887,0.856568778
Snord87,17.9843519,-0.596201742,1.147666263,-0.519490518,0.603418723,0.79129201
Tcf24,23.57905844,-2.222070652,1.221520863,-1.819101679,0.068895919,0.214692088
Cops5,1851.910984,0.269320655,0.482044416,0.558705061,0.576363025,0.771546323
Cspp1,273.7371153,-0.942318371,0.677590649,-1.390689752,0.164319527,0.37125918
Arfgef1,2265.379379,0.535333144,0.284517272,1.881548842,0.059897298,0.196281785
Prex2,75.9297087,0.014162056,1.151689237,0.012296769,0.990188845,0.996151886
Sulf1,27.89528979,-1.113788559,3.202165133,-0.347823586,0.727972675,0.870136261
Slco5a1,45.02521076,-9.046258709,1.846455164,-4.899257175,9.62E-07,5.75E-05
Ncoa2,1571.785577,-0.18915558,0.570776093,-0.331400671,0.740341858,0.874783887
Tram1,1491.678481,0.462182639,0.523959367,0.882096338,0.377724712,0.607427087
Lactb2,300.8493841,1.060612672,0.49433625,2.145528822,0.03191059,0.130712647
Xkr9,14.38593018,1.095790478,1.517912915,0.721906024,0.470352257,0.688719511
Eya1,18.14239633,-4.017961344,2.343551577,-1.714475322,0.086441466,0.248926154
Terf1,198.6317761,-0.019150931,0.383380194,-0.049952844,0.960159966,0.987850897
Sbspon,4.33014254,-2.124254936,3.151224913,-0.674104513,0.50024487,0.713378249
