"","x"
"1","Il1rl2"
"2","Ramp1"
"3","Myeov2"
"4","Fam174a"
"5","Pm20d1"
"6","Gorab"
"7","Mpc2"
"8","Dusp12"
"9","Bpnt1"
"10","Nsl1"
"11","Batf3"
"12","Gm15867"
"13","Themis"
"14","Tet1"
"15","Snord37"
"16","Cdk2"
"17","C1d"
"18","Rps27a"
"19","Sox15"
"20","Tefm"
"21","Rsad1"
"22","Krt15"
"23","Ccr10"
"24","Fkbp1b"
"25","Klhl28"
"26","Serpinb6a"
"27","Gm3558"
"28","Snord69"
"29","Fitm1"
"30","Gzmf"
"31","4930578I06Rik"
"32","Esco2"
"33","Apol6"
"34","Mcm4"
"35","Cldn8"
"36","Mrap"
"37","Dact2"
"38","Arhgdig"
"39","G6bos"
"40","Arhgap26"
"41","Rpl17"
"42","Stxbp3-ps"
"43","Kif20b"
"44","As3mt"
"45","Cdca7"
"46","Itpka"
"47","Trp53bp1"
"48","Ndufaf5"
"49","Gm14288"
"50","Uckl1os"
"51","Hist2h2bb"
"52","Trmt13"
"53","Syde2"
"54","Mup14"
"55","1700024P16Rik"
"56","S100pbp"
"57","Ppp2r2c"
"58","Csn3"
"59","Hcar1"
"60","Ptprz1"
"61","Akr1b10"
"62","Alms1"
"63","4930417O13Rik"
"64","Eps8"
"65","Arntl2"
"66","Sepw1"
"67","Ercc1"
"68","Gm26705"
"69","Kif22"
"70","Ckap2"
"71","Sik2"
"72","Cib2"
"73","Kbtbd13"
"74","Rps27l"
"75","Hmgcll1"
"76","Irak1bp1"
"77","Vill"
"78","Snora62"
"79","Slc25a43"
"80","Xlr4b"
"81","Gspt2"
"82","Jpx"
"83","2810403D21Rik"
"84","Bhlhb9"
"85","Arxes1"
"86","Spin2c"
"87","Ptchd1"
"88",NA
