"","x"
"1","Slco5a1"
"2","Ogfrl1"
"3","Bend6"
"4","Mgat4a"
"5","Creg2"
"6","Gm973"
"7","Slc4a3"
"8","Arl4c"
"9","Mlph"
"10","Twist2"
"11","9430060I03Rik"
"12","Sned1"
"13","Cxcr4"
"14","Rassf5"
"15","Cntn2"
"16","Lrrn2"
"17","Optc"
"18","Sec16b"
"19","Sccpdh"
"20","6330403A02Rik"
"21","C130074G19Rik"
"22","Hhat"
"23","G0s2"
"24","Akap12"
"25","Syne1"
"26","Samd5"
"27","Ctgf"
"28","Enpp1"
"29","Akap7"
"30","Fam26f"
"31","Armc2"
"32","Scml4"
"33","Mypn"
"34","Rtkn2"
"35","Slc16a9"
"36","Reep6"
"37","Atcayos"
"38","4930404N11Rik"
"39","S1pr4"
"40","Eid3"
"41","Lgr5"
"42","Tspan8"
"43","Wif1"
"44","Tbc1d30"
"45","Avpr1a"
"46","Slc16a7"
"47","Pla2g3"
"48","Sec14l4"
"49","Osm"
"50","Rasl10a"
"51","Emid1"
"52","Grb10"
"53","Gabrp"
"54","Slit3"
"55","Olfr1372-ps1"
"56","Tnip1"
"57","Sparc"
"58","Gjc2"
"59","Mfap4"
"60","Zfp287"
"61","Myh2"
"62","Rcvrn"
"63","Ntn1"
"64","Clec10a"
"65","Atp2a3"
"66","Slc43a2"
"67","Tusc5"
"68","Vtn"
"69","Rab11fip4"
"70","Myo1d"
"71","Ccl1"
"72","Tbx2"
"73","Tbx4"
"74","Mycbpap"
"75","Hoxb5"
"76","Igfbp4"
"77","Itgb3"
"78","Tanc2"
"79","BC006965"
"80","Rab37"
"81","Mycn"
"82","Hpcal1"
"83","Pxdn"
"84","Prkd1"
"85","Coch"
"86","Nubpl"
"87","Nfkbia"
"88","Rhoj"
"89","Ttc9"
"90","Tshr"
"91","Galc"
"92","Serpina1e"
"93","Serpina3n"
"94","Meg3"
"95","5033406O09Rik"
"96","Fam65b"
"97","Foxq1"
"98","Foxc1"
"99","Gm26688"
"100","Edn1"
"101","Gmpr"
"102","Gm5084"
"103","Fbp2"
"104","Ube2ql1"
"105","Slc12a7"
"106","Rasgrf2"
"107","Cartpt"
"108","Cd180"
"109","Gapt"
"110","Actbl2"
"111","Esm1"
"112","Emb"
"113","1700112E06Rik"
"114","Kcnma1"
"115","Anxa11"
"116","Ogdhl"
"117","Ear1"
"118","Bmp4"
"119","Slc7a8"
"120","Atp12a"
"121","Cryl1"
"122","Shisa2"
"123","Stmn4"
"124","Nefm"
"125","Stc1"
"126","Pebp4"
"127","Dmtn"
"128","Rgcc"
"129","Diap3"
"130","Gdnf"
"131","Slc1a3"
"132","Myo10"
"133","Cmbl"
"134","Angpt1"
"135","Adgrb1"
"136","Them6"
"137","Sox10"
"138","Syngr1"
"139","Mgat3"
"140","Cyp2d26"
"141","Parvb"
"142","Wnt7b"
"143","Lincppara"
"144","Fam19a5"
"145","Prickle1"
"146","Krt8"
"147","Tns2"
"148","Hoxc8"
"149","Abat"
"150","Adipoq"
"151","Lrrc15"
"152","Dirc2"
"153","Ift57"
"154","Cmss1"
"155","Gbe1"
"156","Gm10791"
"157","Krtap11-1"
"158","Erg"
"159","Fndc1"
"160","Grm4"
"161","Pi16"
"162","Ubash3a"
"163","Tnxb"
"164","C2"
"165","Slc44a4"
"166","Gm8801"
"167","Guca1b"
"168","Lrg1"
"169","Mtcl1"
"170","Vit"
"171","Calm2"
"172","Mkx"
"173","Fhod3"
"174","Cxxc5"
"175","Arap3"
"176","Spry4"
"177","Megf10"
"178","Fbn2"
"179","Sh3tc2"
"180","Ccbe1"
"181","Ccdc68"
"182","2010010A06Rik"
"183","Rnf165"
"184","Mbp"
"185","Tbc1d10c"
"186","Ccdc85b"
"187","Cdc42ep2"
"188","Fth1"
"189","Pcsk5"
"190","Fam189a2"
"191","Slc16a12"
"192","4931408D14Rik"
"193","Entpd1"
"194","Kazald1"
"195","Btrc"
"196","Gfra1"
"197","Gata3"
"198","Slc2a6"
"199","Olfm1"
"200","Gbgt1"
"201","St6galnac4"
"202","Eng"
"203","Stxbp1"
"204","Lhx2"
"205","Zeb2"
"206","Dlx1"
"207","Hoxd8"
"208","Pde1a"
"209","Rapsn"
"210","Alx4"
"211","4921507L20Rik"
"212","Dusp2"
"213","Rassf2"
"214","Plcb1"
"215","Ism1"
"216","Myl9"
"217","Sla2"
"218","Src"
"219","Snhg11"
"220","Mmp9"
"221","Snai1"
"222","Slc17a9"
"223","Mecom"
"224","Frem2"
"225","B3galnt1"
"226","Rapgef2"
"227","Sfrp2"
"228","S100a7a"
"229","Celf3"
"230","Cgn"
"231","Rhoc"
"232","Cnn3"
"233","Elovl6"
"234","Dapp1"
"235","Lmo4"
"236","Cth"
"237","Car8"
"238","Chd7"
"239","Tmem64"
"240","Atp6v0d2"
"241","Bach2"
"242","Dnajb5"
"243","Nr4a3"
"244","1700042G15Rik"
"245","Gm12596"
"246","Mup5"
"247","Tnfsf15"
"248","Tusc1"
"249","Tek"
"250","Fggy"
"251","Edn2"
"252","Cited4"
"253","Rspo1"
"254","Cd164l2"
"255","Ubxn11"
"256","Trim63"
"257","Runx3"
"258","Ncmap"
"259","Tcea3"
"260","Slc25a34"
"261","Dhrs3"
"262","Rex2"
"263","Zfp534"
"264","Gm572"
"265","Spsb1"
"266","Car6"
"267","Rnf223"
"268","Sema3a"
"269","Crygn"
"270","Prom1"
"271","Pcdh7"
"272","0610040J01Rik"
"273","Tbc1d1"
"274","Rasl11b"
"275","Kit"
"276","Plac8"
"277","Agpat9"
"278","Crybb3"
"279","Tmem119"
"280","Acacb"
"281","Cux2"
"282","Dnah10"
"283","Tmem132b"
"284","Eln"
"285","Sh2b2"
"286","Cux1"
"287","Nyap1"
"288","Chst12"
"289","Card11"
"290","Baiap2l1"
"291","Flt1"
"292","Sgce"
"293","Ppp1r9a"
"294","Zyx"
"295","Igf2bp3"
"296","Npy"
"297","Hoxa2"
"298","Creb5"
"299","Tril"
"300","Gadd45a"
"301","Cyp26b1"
"302","Efcc1"
"303","Gm5577"
"304","Gata2"
"305","Ccdc37"
"306","Lrrn1"
"307","Hrh1"
"308","Rasgef1a"
"309","Slc6a12"
"310","Clstn3"
"311","Lag3"
"312","2310001H17Rik"
"313","Tmtc1"
"314","Bicd1"
"315","Zfp579"
"316","Mill1"
"317","Six5"
"318","Cadm4"
"319","Grik5"
"320","Fbxo27"
"321","Capn12"
"322","Spib"
"323","Ftl1"
"324","Kcnc1"
"325","Mkrn3"
"326","Apba2"
"327","Isg20"
"328","Wdr93"
"329","Alpk3"
"330","Plekhb1"
"331","Fchsd2"
"332","Scube2"
"333","Tead1"
"334","Gprc5b"
"335","Nupr1"
"336","Prss36"
"337","Pwwp2b"
"338","Dusp8"
"339","H19"
"340","Cdkn1c"
"341","Cd209c"
"342","Letm2"
"343","Dusp26"
"344","Cldn23"
"345","Lpl"
"346","Arrdc2"
"347","Plvap"
"348","Rasd2"
"349","Zfp827"
"350","Il15"
"351","Zfp423"
"352","Cdh11"
"353","Cdh5"
"354","Zfhx3"
"355","Il34"
"356","Kcng4"
"357","A330074K22Rik"
"358","A230050P20Rik"
"359","Pde4a"
"360","Rgl3"
"361","Pknox2"
"362","Scn2b"
"363","Fxyd2"
"364","Nnmt"
"365","Ttc12"
"366","Ncam1"
"367","Arhgap20"
"368","Stra6"
"369","Rec114"
"370","Coro2b"
"371","Tln2"
"372","Cgnl1"
"373","Myo5c"
"374","Tbc1d2b"
"375","Plscr2"
"376","Pxylp1"
"377","Ephb1"
"378","Amotl2"
"379","Slc38a3"
"380","P4htm"
"381","Pth1r"
"382","Rbms3"
"383","Itga9"
"384","Myrip"
"385","5830454E08Rik"
"386","Porcn"
"387","Xk"
"388","AA414768"
"389","Apln"
"390","Hs6st2"
"391","Gpc3"
"392","Mamld1"
"393","Cd99l2"
"394","Prrg3"
"395","Xlr3b"
"396","Xlr3c"
"397","Opn1mw"
"398","Gab3"
"399","Pdk3"
"400","Amer1"
"401","Gdpd2"
"402","Nhsl2"
"403","Rgag4"
"404","Zmat1"
"405","BC065397"
"406","Map3k15"
"407","Adgrg2"
"408","Gpm6b"
