"","x"
"1","Rgs20"
"2","Kcnq5"
"3","Cnnm4"
"4","Col3a1"
"5","Ankrd44"
"6","Cd28"
"7","Ctla4"
"8","Cxcr2"
"9","Slc4a3"
"10","Pax3"
"11","Mlph"
"12","Twist2"
"13","Sned1"
"14","Gli2"
"15","Cxcr4"
"16","Prelp"
"17","Tnni1"
"18","Rgl1"
"19","Soat1"
"20","F5"
"21","C130074G19Rik"
"22","Enpp1"
"23","Mical1"
"24","Prdm1"
"25","Col13a1"
"26","Slc16a9"
"27","Col6a2"
"28","Col6a1"
"29","Itgb2"
"30","Tspear"
"31","Tpgs1"
"32","Fgf22"
"33","Nfic"
"34","Slc41a2"
"35","Gas2l3"
"36","Wif1"
"37","Tbc1d30"
"38","Slc16a7"
"39","Arhgef25"
"40","Stat2"
"41","Myl6b"
"42","Inpp5j"
"43","Osm"
"44","Dock2"
"45","Flt4"
"46","Gfpt2"
"47","Adamts2"
"48","Gdf9"
"49","Tnip1"
"50","Natd1"
"51","Specc1"
"52","Trim16"
"53","Myh8"
"54","Myh13"
"55","Gas7"
"56","Rnf222"
"57","Tmem88"
"58","Slc43a2"
"59","Slc46a1"
"60","Rab11fip4"
"61","Myo1d"
"62","Slfn5"
"63","Ccl5"
"64","Dlx3"
"65","Ngfr"
"66","Hoxb8"
"67","Arhgap23"
"68","Krt42"
"69","Arl4d"
"70","Meox1"
"71","Plekhm1"
"72","Ace"
"73","Arsg"
"74","Cd300lf"
"75","Sept9"
"76","Socs3"
"77","Mycn"
"78","9030624G23Rik"
"79","Pxdn"
"80","Lamb1"
"81","Hdac9"
"82","Nrcam"
"83","Stxbp6"
"84","Egln3"
"85","Dact1"
"86","Max"
"87","Actn1"
"88","Susd6"
"89","Map3k9"
"90","Mfsd7c"
"91","Serpina3n"
"92","Degs2"
"93","Meg3"
"94","Kif26a"
"95","Actn2"
"96","Gmds"
"97","Serpinb6e"
"98","Gm26688"
"99","Ror2"
"100","Cplx2"
"101","Slc28a3"
"102","Slc12a7"
"103","Mctp1"
"104","Rasgrf2"
"105","Gapt"
"106","Actbl2"
"107","Ankrd55"
"108","Rnase2a"
"109","Mmp14"
"110","Rem2"
"111","Slc7a8"
"112","Shisa2"
"113","C1qtnf9"
"114","Nefm"
"115","Irg1"
"116","Cmbl"
"117","Cpq"
"118","Osr2"
"119","Nov"
"120","Mtss1"
"121","Slc45a4"
"122","Arc"
"123","Rac2"
"124","Cyth4"
"125","Mfng"
"126","Sox10"
"127","Mgat3"
"128","Cyb5r3"
"129","Arhgap8"
"130","Wnt7b"
"131","Adm2"
"132","Twf1"
"133","Rnd1"
"134","Nckap5l"
"135","Scn8a"
"136","Hoxc8"
"137","AU021092"
"138","Gm1600"
"139","Litaf"
"140","Gp1bb"
"141","Cldn5"
"142","Tigit"
"143","Pvrl3"
"144","Nxpe3"
"145","Gbe1"
"146","Krtap27-1"
"147","B3galt5"
"148","4732491K20Rik"
"149","Grm4"
"150","Cryaa"
"151","Tapbp"
"152","H2-Ab1"
"153","C2"
"154","H2-L"
"155","H2-Q5"
"156","Tnfrsf21"
"157","Mtcl1"
"158","Ptprm"
"159","Epb4.1l3"
"160","Dlgap1"
"161","Fam179a"
"162","Zfp521"
"163","Celf4"
"164","Sil1"
"165","Cxxc5"
"166","Pcdhga1"
"167","Prr16"
"168","Lox"
"169","Piezo2"
"170","Ccdc68"
"171","Cdc42ep2"
"172","Rcor2"
"173","Myrf"
"174","Slc1a1"
"175","4430402I18Rik"
"176","Cd274"
"177","Gldc"
"178","Pik3ap1"
"179","Cpn1"
"180","Sfxn4"
"181","Nacc2"
"182","Gbgt1"
"183","Ralgds"
"184","Ier5l"
"185","Nek6"
"186","Gtdc1"
"187","Scn2a1"
"188","Cybrd1"
"189","Dlx2"
"190","Fkbp7"
"191","Ttn"
"192","Spi1"
"193","Ldlrad3"
"194","Dll4"
"195","Shc4"
"196","Hdc"
"197","Cd93"
"198","Foxs1"
"199","Trp53inp2"
"200","Snhg11"
"201","Pltp"
"202","Snai1"
"203","Tshz2"
"204","Ctsz"
"205","Slc17a9"
"206","Eef1a2"
"207","Tnik"
"208","Sec62"
"209","Fat4"
"210","Shox2"
"211","Rapgef2"
"212","Sfrp2"
"213","She"
"214","Car14"
"215","Plekho1"
"216","Fcgr1"
"217","Fam46c"
"218","Rhoc"
"219","Dpyd"
"220","Cnn3"
"221","F3"
"222","Elovl6"
"223","Lef1"
"224","Gbp5"
"225","Chd7"
"226","Runx1t1"
"227","Cnr1"
"228","Cntfr"
"229","Aldh1b1"
"230","Tdrd7"
"231","AI427809"
"232","1700042G15Rik"
"233","Gm12596"
"234","Susd1"
"235","Snx30"
"236","Cdkn2b"
"237","Jun"
"238","Lepr"
"239","Podn"
"240","Hpdl"
"241","Elovl1"
"242","Tie1"
"243","5730409E04Rik"
"244","Laptm5"
"245","Fam46b"
"246","Grrp1"
"247","Il22ra1"
"248","C1qa"
"249","Camk2n1"
"250","Pla2g2e"
"251","Otud3"
"252","Arhgef10l"
"253","Padi3"
"254","Zfp600"
"255","Gm13247"
"256","Plod1"
"257","Gm572"
"258","Wfs1"
"259","Cd38"
"260","Prom1"
"261","Sod3"
"262","Rhoh"
"263","Limch1"
"264","Nipal1"
"265","Lnx1"
"266","Kit"
"267","Cxcl13"
"268","Fras1"
"269","2310034O05Rik"
"270","Gbp4"
"271","2900026A02Rik"
"272","Cmklr1"
"273","1110006O24Rik"
"274","Oas1b"
"275","Rhof"
"276","Fam101a"
"277","Scarb1"
"278","Nupr1l"
"279","Eln"
"280","Sh2b2"
"281","Cux1"
"282","Adap1"
"283","Gper1"
"284","Flt1"
"285","Mtus2"
"286","Medag"
"287","Col1a2"
"288","Sgce"
"289","Peg10"
"290","Tmem229a"
"291","Cpa2"
"292","Podxl"
"293","Rarres2"
"294","Gimap3"
"295","Hoxa7"
"296","Prdm5"
"297","Gadd45a"
"298","Tcf7l1"
"299","Rab11fip5"
"300","Nup210"
"301","Eif4e3"
"302","Lrrn1"
"303","Tmem40"
"304","Cxcl12"
"305","Lag3"
"306","Bcl2l14"
"307","Bcat1"
"308","Ppp1r12c"
"309","Slc8a2"
"310","Nova2"
"311","Nkpd1"
"312","Gm19345"
"313","Cadm4"
"314","Scgb2b27"
"315","Klk8"
"316","Nr1h2"
"317","Fcgrt"
"318","Ftl1"
"319","Emp3"
"320","Kcnj11"
"321","Abcc8"
"322","Kcnc1"
"323","Nav2"
"324","Nell1"
"325","Mesp1"
"326","Anpep"
"327","Gab2"
"328","Pde2a"
"329","Hpx"
"330","Ric3"
"331","Scube2"
"332","1700012D14Rik"
"333","A730082K24Rik"
"334","4930413G21Rik"
"335","Il4ra"
"336","Itgam"
"337","Btbd16"
"338","Cdkn1c"
"339","Fgf3"
"340","Cd209f"
"341","Col4a2"
"342","Zmat4"
"343","Dusp26"
"344","Ifi30"
"345","Slc5a5"
"346","Plvap"
"347","Large"
"348","Hmox1"
"349","Rasd2"
"350","Ptger1"
"351","Palm3"
"352","Irx6"
"353","Smpd3"
"354","Zfhx3"
"355","A330074K22Rik"
"356","Cbfa2t3"
"357","Pdgfd"
"358","Dync2h1"
"359","Olfm2"
"360","Bmper"
"361","Adamts15"
"362","Pknox2"
"363","Sorl1"
"364","Pstpip1"
"365","Cspg4"
"366","Cyp11a1"
"367","Rec114"
"368","Tln2"
"369","Myzap"
"370","Myo5c"
"371","Scg3"
"372","Nt5e"
"373","Zic1"
"374","Slc38a3"
"375","Ccrl2"
"376","Myrip"
"377","Magix"
"378","Was"
"379","Porcn"
"380","Xk"
"381","Nyx"
"382","Syn1"
"383","Apln"
"384","Hs6st2"
"385","Gpc3"
"386","Prrg1"
"387","Pdk3"
"388","Eda"
"389","Kif4"
"390","Nhsl2"
"391","Magt1"
"392","Drp2"
"393","Tceal3"
"394","Alas2"
"395","Map3k15"
"396","Rai2"
