"","x"
"1","Npbwr1"
"2","Plekhb2"
"3","Klf7"
"4","Mgat5"
"5","Ube2t"
"6","Phlda3"
"7","Kcnj9"
"8","Fbxo5"
"9","Plagl1"
"10","Myb"
"11","AA474331"
"12","Zfp365"
"13","Cdk1"
"14","Trpm2"
"15","Icosl"
"16","Nav3"
"17","Myl7"
"18","Pttg1"
"19","Shroom1"
"20","Trim58"
"21","Kcnj12"
"22","Znhit3"
"23","Wdr35"
"24","1700030C10Rik"
"25","Arhgap5"
"26","Hif1a"
"27","Rab15"
"28","Itpk1"
"29","Serpinb1a"
"30","Cks2"
"31","Zfp808"
"32","Zfp369"
"33","Ccnb1"
"34","Nt5dc2"
"35","Pbk"
"36","Piwil2"
"37","Lifr"
"38","Fam105a"
"39","Ly6c2"
"40","Gsdmd"
"41","Tonsl"
"42","Fam109b"
"43","Aqp5"
"44","Cd86"
"45","Ndufb4"
"46","Nsun3"
"47","Samsn1"
"48","Nrip1"
"49","Map3k7cl"
"50","Nme4"
"51","Uqcc2"
"52","H2-Oa"
"53","H2-Ob"
"54","2300002M23Rik"
"55","Rab31"
"56","Cdc25c"
"57","Pura"
"58","Pcdhb9"
"59","Pcdhb16"
"60","Pcdhgb2"
"61","Pcdhgb5"
"62","Pcdhga9"
"63","Pmaip1"
"64","Incenp"
"65","Arl5b"
"66","Nfe2l2"
"67","Mybpc3"
"68","Chst1"
"69","Duox2"
"70","Il1b"
"71","Thbd"
"72","Nnat"
"73","Snord12"
"74","B4galt5"
"75","Fabp5"
"76","Atp11b"
"77","P2ry1"
"78","Pdgfc"
"79","9130204L05Rik"
"80","Rptn"
"81","Gm4349"
"82","Phgdh"
"83","Ank2"
"84","Glipr2"
"85","Tmem245"
"86","Prkaa2"
"87","Lrp8"
"88","Sh2d5"
"89","Pdpn"
"90","Gm13034"
"91","H6pd"
"92","Cdk6"
"93","Abcb1b"
"94","Bend4"
"95","Cenpc1"
"96","Epgn"
"97","Gk2"
"98","Arhgap24"
"99","Mn1"
"100","Hcar1"
"101","Pcolce"
"102","Irs3"
"103","Lrrc4"
"104","Agbl3"
"105","Thnsl2"
"106","Wnt7a"
"107","0610040F04Rik"
"108","Fancd2os"
"109","Shank1"
"110","Gm26705"
"111","Chst15"
"112","Ccnd1"
"113","Tpcn2"
"114","2310008N11Rik"
"115","Tusc3"
"116","Dctd"
"117","Homer3"
"118","Lsm4"
"119","Adgre5"
"120","Podnl1"
"121","Lyl1"
"122","Gins2"
"123","Alkbh8"
"124","Abcg4"
"125","Car12"
"126","Fam83b"
"127","4930429F24Rik"
"128","Chst2"
"129","Paqr9"
"130","Ky"
"131","Arpp21"
"132","Snora62"
"133","Nudt11"
"134","Shroom4"
"135","Clcn5"
"136","Chst7"
"137","Spin4"
"138","Stard8"
"139","Tex11"
"140","Gm6377"
"141","Timm8a1"
"142","Prps1"
"143","Ptchd1"
