seqnames	start	end	width	CpG	X25w_UVB.mu	X25w_UA.mu	X25w_UVB..25w_UA.diff	X25w_UVB..25w_UA.pval	annotation	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
chr1	3672762	3672761	0	1	0.0431024	0.5227092	0.4796068	0.0030145	Promoter (1-2kb)	3214482	3671498	457017	2	Xkr4	-1264
chr1	4491785	4491784	0	1	0.2592423	0.0139298	-0.2453125	0.0156708	Exon (NM_001289464/Sox17, exon 4 of 4)	4490928	4497354	6427	2	Sox17	5570
chr1	4492484	4492483	0	1	0.3143742	0.0244967	-0.2898774	0.0196943	Exon (NM_001289464/Sox17, exon 4 of 4)	4490928	4497354	6427	2	Sox17	4871
chr1	4496764	4496763	0	1	0.1609487	0.4787933	0.3178446	0.0119096	Promoter (<=1kb)	4490928	4497354	6427	2	Sox17	591
chr1	4497335	4497334	0	1	0.1872055	0.6339945	0.446789	0.0201222	Promoter (<=1kb)	4490928	4497354	6427	2	Sox17	20
chr1	4497532	4497531	0	1	0.3390861	0.0252061	-0.31388	0.0255296	Promoter (<=1kb)	4490928	4497354	6427	2	Sox17	-178
chr1	4526248	4526247	0	1	0.4150568	0.7769716	0.3619148	0.0124743	Distal Intergenic	4490928	4497354	6427	2	Sox17	-28894
chr1	4819766	4819765	0	1	0.2945174	0.5567263	0.262209	0.0344262	Intron (NM_008866/Lypla1, intron 2 of 8)	4807893	4846735	38843	1	Lypla1	11873
chr1	5021593	5021592	0	1	0.4582086	0.0832161	-0.3749925	0.0019719	Intron (NM_001177795/Rgs20, intron 1 of 5)	4909576	5070285	160710	2	Rgs20	48693
chr1	5109352	5109351	0	1	0.5250669	0.9615241	0.4364572	3.7e-06	Intron (NM_133826/Atp6v1h, intron 7 of 13)	5083173	5162549	79377	1	Atp6v1h	26179
chr1	5110239	5110238	0	1	0.8513388	0.9808221	0.1294833	0.0306699	Intron (NM_133826/Atp6v1h, intron 7 of 13)	5083173	5162549	79377	1	Atp6v1h	27066
chr1	5241610	5241609	0	1	0.717793	0.3545031	-0.3632898	0.0313065	Distal Intergenic	5083173	5162549	79377	1	Atp6v1h	158437
chr1	6359092	6359091	0	1	0.3354435	0.0195203	-0.3159231	0.0120135	Promoter (<=1kb)	6359331	6394731	35401	1	Fam150a	-240
chr1	6379836	6379835	0	1	0.8653866	0.0695078	-0.7958788	6.5e-06	Intron (NM_001195732/Fam150a, intron 1 of 4)	6359331	6394731	35401	1	Fam150a	20505
chr1	6441320	6441319	0	1	0.6209418	0.115592	-0.5053498	0.0264759	Distal Intergenic	6487231	6860940	373710	1	St18	-45912
chr1	6441329	6441328	0	1	0.8944302	0.1435405	-0.7508897	6.39e-05	Distal Intergenic	6487231	6860940	373710	1	St18	-45903
chr1	6483786	6483785	0	1	0.4270725	0.8016878	0.3746153	0.0460105	Distal Intergenic	6487231	6860940	373710	1	St18	-3446
