seqnames	start	end	width	CpG	X2w_UVB.mu	X2w_UA.mu	X2w_UVB..2w_UA.diff	X2w_UVB..2w_UA.pval	annotation	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
chr1	5916245	5916244	0	1	0.3686996	0.0161417	-0.3525579	0.0386975	Promoter (1-2kb)	5913707	5917398	3692	2	Npbwr1	1154
chr1	9909045	9909044	0	1	0.7089186	0.9343946	0.2254759	0.0499222	Promoter (<=1kb)	9908638	9940954	32317	1	Mcmdc2	407
chr1	12990218	12990217	0	1	0.3974718	0.750661	0.3531891	0.0043864	Promoter (<=1kb)	12866550	12991135	124586	2	Slco5a1	918
chr1	12990294	12990293	0	1	0.0673948	0.2692359	0.2018411	0.0418421	Promoter (<=1kb)	12866550	12991135	124586	2	Slco5a1	842
chr1	13126492	13126491	0	1	0.0160128	0.2126573	0.1966445	0.0288962	Promoter (<=1kb)	13113428	13127163	13736	2	Prdm14	672
chr1	13127209	13127208	0	1	0.3748061	0.0240752	-0.3507309	0.0481988	Promoter (<=1kb)	13113428	13127163	13736	2	Prdm14	-46
chr1	13371436	13371435	0	1	0.1446707	0.4240592	0.2793885	0.0427637	Promoter (2-3kb)	13139105	13374083	234979	2	Ncoa2	2648
chr1	13669837	13669836	0	1	0.7139628	0.3899094	-0.3240534	0.0269314	Promoter (1-2kb)	13668771	13701723	32953	1	Xkr9	1066
chr1	16616548	16616547	0	1	0.4698106	0.1844969	-0.2853137	0.0287639	Promoter (2-3kb)	16540788	16619338	78551	2	Ube2w	2791
chr1	20892073	20892072	0	1	0.1582976	0.4931876	0.3348899	0.0131686	Promoter (1-2kb)	20890622	20938756	48135	1	Paqr8	1451
chr1	20950273	20950272	0	1	0.7415337	0.2571383	-0.4843954	0.0135689	Promoter (1-2kb)	20951626	20990841	39216	1	Efhc1	-1354
chr1	21962054	21962053	0	1	0.0231994	0.2682653	0.2450659	0.0412352	Promoter (<=1kb)	21398403	21961942	563540	2	Kcnq5	-112
