seqnames	start	end	width	CpG	X25t_UVB.mu	X25t_UA.mu	X25t_UVB..25t_UA.diff	X25t_UVB..25t_UA.pval	annotation	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
chr1	3445752	3445751	0	1	0.9052298	0.6633682	-0.2418615	0.0299316	Intron (NM_001011874/Xkr4, intron 1 of 2)	3214482	3671498	457017	2	Xkr4	225747
chr1	4324640	4324639	0	1	0.2779485	0.8409584	0.5630099	0.0021638	Intron (NM_001195662/Rp1, intron 3 of 3)	4290846	4409241	118396	2	Rp1	84602
chr1	4346705	4346704	0	1	0.2880947	0.7070621	0.4189675	0.0183175	Exon (NM_011283/Rp1, exon 4 of 4)	4290846	4409241	118396	2	Rp1	62537
chr1	4496568	4496567	0	1	0.2875303	0.0216633	-0.265867	0.0204221	Promoter (<=1kb)	4490928	4497354	6427	2	Sox17	787
chr1	4497608	4497607	0	1	0.2378926	0.0134442	-0.2244484	0.0354236	Promoter (<=1kb)	4490928	4497354	6427	2	Sox17	-254
chr1	4498377	4498376	0	1	0.3447779	0.7427085	0.3979306	0.0211217	Promoter (1-2kb)	4490928	4497354	6427	2	Sox17	-1023
chr1	4498981	4498980	0	1	0.9154905	0.5491336	-0.3663569	0.0077445	Promoter (1-2kb)	4490928	4497354	6427	2	Sox17	-1627
chr1	4689262	4689261	0	1	0.6394849	0.2215679	-0.417917	0.0106451	Distal Intergenic	4773200	4785726	12527	2	Mrpl15	96465
chr1	4689289	4689288	0	1	0.5758592	0.1549865	-0.4208727	0.0256264	Distal Intergenic	4773200	4785726	12527	2	Mrpl15	96438
chr1	4689292	4689291	0	1	0.6372729	0.1930344	-0.4442385	0.0249762	Distal Intergenic	4773200	4785726	12527	2	Mrpl15	96435
chr1	5072670	5072669	0	1	0.9462047	0.4201986	-0.5260061	0.0072052	Promoter (2-3kb)	4909576	5070285	160710	2	Rgs20	-2385
chr1	5183758	5183757	0	1	0.3491024	0.7962358	0.4471334	0.0440978	Distal Intergenic	5083173	5162549	79377	1	Atp6v1h	100585
chr1	6441088	6441087	0	1	0.4824651	0.7539928	0.2715277	0.0450069	Distal Intergenic	6487231	6860940	373710	1	St18	-46144
chr1	6441234	6441233	0	1	0.0154709	0.2891708	0.2736998	0.0342304	Distal Intergenic	6487231	6860940	373710	1	St18	-45998
chr1	6441317	6441316	0	1	0.7278995	0.2091217	-0.5187778	0.0340044	Distal Intergenic	6487231	6860940	373710	1	St18	-45915
chr1	6441320	6441319	0	1	0.850122	0.2113796	-0.6387424	0.0071526	Distal Intergenic	6487231	6860940	373710	1	St18	-45912
chr1	6466854	6466853	0	1	0.6580212	0.8847287	0.2267074	0.0339456	Distal Intergenic	6487231	6860940	373710	1	St18	-20378
chr1	6873803	6873802	0	1	0.8208308	0.2641373	-0.5566935	0.0289839	Distal Intergenic	7088920	7173628	84709	1	Pcmtd1	-215118
chr1	7121863	7121862	0	1	0.6977282	0.9653712	0.267643	0.0266122	Intron (NM_183028/Pcmtd1, intron 2 of 5)	7088920	7173628	84709	1	Pcmtd1	32943
chr1	7207047	7207046	0	1	0.2377706	0.7461978	0.5084272	0.0029278	Distal Intergenic	7088920	7173628	84709	1	Pcmtd1	118127
chr1	7210406	7210405	0	1	0.9610188	0.6412384	-0.3197804	0.0204756	Distal Intergenic	7088920	7173628	84709	1	Pcmtd1	121486
chr1	8417069	8417068	0	1	0.6800289	0.4718618	-0.2081671	0.0472911	Intron (NM_001290390/Sntg1, intron 19 of 20)	8359739	9299877	940139	2	Sntg1	882809
chr1	9398610	9398609	0	1	0.508942	0.7830519	0.2741099	0.0284882	Distal Intergenic	8359739	9299877	940139	2	Sntg1	-98733
